Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly,fbr_x,fbr_y,fbl_x,fbl_y,bbr_x,bbr_y,bbl_x,bbl_y,direction,camera,acceleration,speed,veh rear x,veh center y,theta,width,length,height,"ts_bias for cameras ['p1c1', 'p1c2', 'p1c3', 'p1c4', 'p1c5', 'p1c6', 'p2c1', 'p2c2', 'p2c3', 'p2c4', 'p2c5', 'p2c6']"
-,1623877088.77,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.77,0,midsize,557.894900604279,756.4216963141419,624.6129672594275,841.451896894241,0,0,3D Detector,571.2413319919177,841.451896894241,624.6129672594275,835.3374522939239,559.6351970618765,794.2899573059423,610.6394875635474,788.7566427253464,569.4565353718356,807.5128854664971,623.0218564863255,801.6057083166863,557.894900604279,761.7644314900759,609.0760133404156,756.4216963141419,383.59778,1.2810903,383.59778,7.011267,366.9027,1.2810903,366.9027,7.011267,1.0,p1c1,0,92.125725,366.9027,4.1461787,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.8033,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.8033,0,midsize,560.0495163111198,764.3992067525196,627.4418201954927,850.6042100621182,0,0,3D Detector,573.61266101394,850.6042100621182,627.4418201954927,844.3736721175646,561.7975567158076,802.6155736971688,613.2195755373575,796.9817680607996,571.8200657931307,816.3926221685824,625.8462595046053,810.372646390518,560.0495163111198,769.8395239527201,611.6512771619541,764.3992067525196,386.66556,1.2933264,386.66556,7.0235033,369.9705,1.2933264,369.9705,7.0235033,1.0,p1c1,0,92.125725,369.9705,4.158415,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.8367,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.8367,0,midsize,562.2412774588396,772.5133520254171,630.3213212654975,859.9215121897581,0,0,3D Detector,576.0267380387263,859.9215121897581,630.3213212654975,853.5716775420406,563.9970717611201,811.0842474817133,615.8437084661962,805.3473053818827,574.2263523017153,825.4329926387481,628.7214062263985,819.297092760248,562.2412774588396,778.0538305075626,614.2706488225007,772.5133520254171,389.73334,1.3055625,389.73334,7.0357394,373.03827,1.3055625,373.03827,7.0357394,1.0,p1c1,0,91.849525,373.03827,4.170651,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.87,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.87,0,midsize,564.47113172389,780.7675898338684,633.252814701745,869.4082098760832,0,0,3D Detector,578.4847060063811,869.4082098760832,633.252814701745,862.9357586284362,566.2346868125485,819.6996112296898,618.5129982247349,813.856795620644,576.6765422479774,834.6383028980953,631.6486483283368,828.383239294308,564.47113172389,786.4108985417319,616.935245667028,780.7675898338684,392.8011,1.3177986,392.8011,7.0479755,376.10602,1.3177986,376.10602,7.0479755,1.0,p1c1,0,92.12481,376.10602,4.182887,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.9033,-1,,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,0,0,3D Detector,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-0.1647852229816721,260.7753157720387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,p1c1,0,0.0,-100.0,-100.0,0,0.0,0.0,0.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
-,1623877088.9033,0,midsize,566.7401241526438,789.1657486467402,636.2377790610284,879.0691593627863,0,0,3D Detector,580.9878207468101,879.0691593627863,636.2377790610284,872.4706459580855,568.5114438794793,828.4656857525388,621.2286727801638,822.5141606926405,579.1718959386033,844.0132969546988,634.6294721196804,837.6357069209791,566.7401241526438,794.9146533038066,619.646301303371,789.1657486467402,395.86887,1.3300347,395.86887,7.0602117,379.1738,1.3300347,379.1738,7.0602117,1.0,p1c1,0,92.12507,379.1738,4.195123,0,5.730177,16.695068,5.0,"[0.0, 0.0506, 0.0604, 0.035, 0.028, 0.0, -0.07299999999999998, -0.029, -0.0398, 0.0, 0.0, -0.016]"
