Video sequence name,Processing start time,Processing end time,Timestamp start time,Timestamp end time,Unique objects,GPU
/home/worklab/Data/cv/video/ground_truth_video_06162021/record_47_p1c4_00000.mp4,---,---,1623876788.68,1623876848.82,---,---

Processing fps
2.9345320776643256

Confidence Cutoff,NMS Cutoff
0.3,0.5

Frame #,Timestamp,Object Confidence,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly
0,1623876788.68,0.9645127,sedan,599.2743,638.9801,824.37756,737.00073,---,---,3D Detector,---,---,818.0749,732.3912,829.53436,668.7154,634.2498,732.2252,645.7093,668.5495,783.415,711.43634,794.8745,647.7606,599.5899,711.27045,611.04944,647.5947
0,1623876788.68,0.9624215,sedan,389.41196,116.324875,546.6266,197.77971,---,---,3D Detector,---,---,410.0015,152.23161,399.8005,195.56462,553.5436,150.18799,543.3425,193.521,395.66376,125.55388,385.46274,168.88689,539.2058,123.510254,529.00476,166.84326
0,1623876788.68,0.91427386,midsize,1624.1545,89.80348,1820.6221,185.88852,---,---,3D Detector,---,---,1617.202,137.73996,1634.6519,181.16359,1782.7179,136.06905,1800.1677,179.49268,1643.319,102.52606,1660.7688,145.94969,1808.835,100.85515,1826.2847,144.27878
1,1623876788.71,0.981108,sedan,647.4953,637.50574,863.52075,739.451,---,---,3D Detector,---,---,858.66986,732.1883,872.88855,672.3801,676.33136,732.7478,690.55005,672.93964,826.58307,708.0101,840.80176,648.2019,644.24457,708.5696,658.46326,648.7614
1,1623876788.71,0.96694815,sedan,356.78223,115.4816,514.1319,199.21103,---,---,3D Detector,---,---,379.59885,152.33768,369.46353,195.42451,519.1919,151.17926,509.05658,194.2661,364.92987,125.11027,354.79456,168.19711,504.5229,123.95186,494.38757,167.0387
1,1623876788.71,0.91751415,midsize,1592.842,89.14943,1783.1346,187.59787,---,---,3D Detector,---,---,1584.6179,141.26746,1603.746,183.09914,1744.3596,138.56815,1763.4877,180.39983,1610.4529,102.776764,1629.5809,144.60844,1770.1946,100.07745,1789.3226,141.90913
2,1623876788.74,0.9806862,sedan,687.1869,640.8017,904.80597,736.9632,---,---,3D Detector,---,---,897.57855,729.41534,909.782,672.0907,712.8304,731.5045,725.0338,674.1799,871.49963,706.7721,883.703,649.44745,686.75146,708.86127,698.9549,651.5366
2,1623876788.74,0.9680949,sedan,322.33923,113.89403,479.41415,200.30205,---,---,3D Detector,---,---,346.43512,151.99886,336.60324,195.95334,483.9802,150.19391,474.14835,194.1484,330.52902,124.556915,320.69717,168.51141,468.07413,122.751976,458.24225,166.70648
2,1623876788.74,0.92527896,midsize,1561.4938,90.41914,1747.4885,184.85301,---,---,3D Detector,---,---,1553.4407,141.11171,1571.9102,180.96167,1710.445,136.43486,1728.9143,176.28482,1578.4615,104.94561,1596.9309,144.79556,1735.4657,100.26877,1753.935,140.11871
3,1623876788.78,0.98417664,sedan,736.4865,635.75806,951.14075,738.73096,---,---,3D Detector,---,---,946.2318,731.2792,954.8111,669.6281,760.38336,732.24835,768.9626,670.5972,922.79193,708.2831,931.37115,646.63196,736.9434,709.2522,745.52264,647.6011
