Video sequence name,Processing start time,Processing end time,Timestamp start time,Timestamp end time,Unique objects,GPU
/home/worklab/Data/cv/video/ground_truth_video_06162021/record_47_p1c3_00000.mp4,---,---,1623876788.67,1623876848.78,---,---

Processing fps
2.8767432611476793

Confidence Cutoff,NMS Cutoff
0.3,0.5

Frame #,Timestamp,Object Confidence,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly
0,1623876788.67,0.98650056,pickup,1627.3062,82.76056,1807.2797,155.63724,---,---,3D Detector,---,---,1621.548,124.10308,1644.267,148.96729,1770.1412,118.413055,1792.8602,143.27725,1636.2555,100.69794,1658.9744,125.56214,1784.8486,95.007904,1807.5676,119.87211
0,1623876788.67,0.95718426,sedan,616.3886,862.93066,830.71234,969.275,---,---,3D Detector,---,---,823.8905,959.6696,836.6379,898.49286,652.85486,963.235,665.60223,902.0583,787.41876,934.3721,800.16614,873.1953,616.3831,937.93744,629.1305,876.7607
0,1623876788.67,0.95573115,sedan,430.66632,340.0033,580.25507,420.80505,---,---,3D Detector,---,---,456.62927,377.2207,443.56052,412.40167,585.4343,378.83432,572.3656,414.0153,443.0566,352.334,429.98785,387.51498,571.8617,353.94763,558.7929,389.1286
0,1623876788.67,0.9075371,midsize,1629.869,311.62564,1827.048,404.0753,---,---,3D Detector,---,---,1626.0916,363.97723,1648.3151,399.706,1782.2664,356.66064,1804.49,392.3894,1649.8035,329.23636,1672.0271,364.96512,1805.9784,321.9198,1828.2019,357.64856
0,1623876788.67,0.87753034,sedan,-0.024223328,236.71924,156.3888,314.46985,---,---,3D Detector,---,---,49.806217,268.5444,23.808502,301.5611,160.57266,270.03632,134.57497,303.053,27.8116,252.56725,1.8138885,285.58392,138.57805,254.05916,112.580345,287.07587
1,1623876788.7,0.9824149,pickup,1614.082,82.28816,1782.8835,155.14311,---,---,3D Detector,---,---,1611.4912,124.90665,1631.532,147.93498,1746.9188,119.91188,1766.9596,142.9402,1625.838,100.68823,1645.8789,123.71656,1761.2657,95.69347,1781.3065,118.721794
1,1623876788.7,0.97938776,sedan,657.4933,863.7075,881.00397,968.6005,---,---,3D Detector,---,---,882.9042,959.83185,892.0908,893.7871,691.62024,965.3461,700.80695,899.3014,844.10876,937.4725,853.2955,871.4277,652.8249,942.98676,662.0116,876.94196
1,1623876788.7,0.9669303,sedan,394.70468,342.0696,546.2462,418.52628,---,---,3D Detector,---,---,413.5604,377.73264,405.6241,411.4237,549.3518,379.52264,541.4155,413.21375,403.55597,353.1679,395.6197,386.85898,539.34735,354.95792,531.4111,388.649
1,1623876788.7,0.91434205,midsize,1599.1082,311.9477,1791.7737,403.01318,---,---,3D Detector,---,---,1588.8241,357.12958,1611.3772,394.5534,1744.8252,355.81424,1767.3783,393.23807,1617.6893,326.27875,1640.2424,363.70258,1773.6904,324.96344,1796.2435,362.38724
1,1623876788.7,0.5221139,sedan,-31.448952,238.422,124.97382,313.4743,---,---,3D Detector,---,---,18.632286,270.5525,-5.794876,299.87924,126.34801,273.2127,101.920845,302.5395,-2.4976425,254.01389,-26.924812,283.34067,105.21808,256.67413,80.79091,286.0009
